fecha,cantidad
13/03/20,2
14/03/20,0
15/03/20,15
16/03/20,0
17/03/20,16
18/03/20,3
19/03/20,6
20/03/20,23
21/03/20,5
22/03/20,0
23/03/20,14
24/03/20,0
25/03/20,22
26/03/20,1
27/03/20,6
28/03/20,6
29/03/20,0
30/03/20,16
31/03/20,0
01/04/20,9
02/04/20,2
03/04/20,7
04/04/20,2
05/04/20,4
06/04/20,6
07/04/20,1
08/04/20,1
09/04/20,4
10/04/20,4
11/04/20,0
12/04/20,6
13/04/20,8
14/04/20,0
15/04/20,8
16/04/20,7
17/04/20,0
18/04/20,23
19/04/20,29
20/04/20,29
21/04/20,3
22/04/20,10
23/04/20,0
24/04/20,20
25/04/20,5
26/04/20,2
27/04/20,4
28/04/20,0
29/04/20,2
30/04/20,2
01/05/20,2
02/05/20,10
